WellName,X,Y,Z,MD
15/9-F-1,435050,6478560,0,0.0
15/9-F-1,435050.0,6478560.0,102.9,102.9
15/9-F-1,435050.0,6478560.0,109.5,109.5
15/9-F-1,435050.0,6478560.0,116.1,116.1
15/9-F-1,435050.0,6478560.0,122.7,122.7
15/9-F-1,435050.0,6478560.0,129.3,129.3
15/9-F-1,435050.0,6478560.0,135.9,135.9
15/9-F-1,435050.0,6478560.0,142.8,142.8
15/9-F-1,435050.0,6478560.0,149.4,149.4
15/9-F-1,435050.0,6478560.0,156.0,156.0
15/9-F-1,435050.0,6478560.0,162.6,162.6
15/9-F-1,435050.0,6478560.0,169.2,169.2
15/9-F-1,435050.0,6478560.0,175.8,175.8
15/9-F-1,435050.0,6478560.0,182.4,182.4
15/9-F-1,435050.0,6478560.0,188.1,188.1
15/9-F-1,435050.0,6478560.0,193.8,193.8
15/9-F-1,435050.0,6478560.0,197.424,197.424
15/9-F-1,435050.0,6478560.0,200.4,200.4
15/9-F-1,435050.0,6478560.0,203.447,203.447
15/9-F-1,435050.0,6478560.0,205.433,205.433
15/9-F-1,435050.0,6478560.0,206.742,206.742
15/9-F-1,435050.0,6478560.0,210.018,210.018
15/9-F-1,435050.0,6478560.0,212.7,212.7
15/9-F-1,435050.0,6478560.0,214.5,214.5
15/9-F-1,435050.0,6478560.0,216.3,216.3
15/9-F-1,435050.0,6478560.0,219.3,219.3
15/9-F-1,435050.0,6478560.0,221.475,221.475
15/9-F-1,435050.0,6478560.0,223.5,223.5
15/9-F-1,435050.0,6478560.0,224.361,224.361
15/9-F-1,435050.0,6478560.0,224.779,224.779
15/9-F-1,435050.0,6478560.0,225.6,225.6
15/9-F-1,435050.0,6478560.0,226.8,226.8
15/9-F-1,435050.0,6478560.0,228.3,228.3
15/9-F-1,435050.0,6478560.0,229.8,229.8
15/9-F-1,435050.0,6478560.0,231.3,231.3
15/9-F-1,435050.0,6478560.0,232.538,232.538
15/9-F-1,435050.0,6478560.0,233.477,233.477
15/9-F-1,435050.0,6478560.0,233.609,233.609
15/9-F-1,435050.0,6478560.0,234.002,234.002
15/9-F-1,435050.0,6478560.0,234.3,234.3
15/9-F-1,435050.0,6478560.0,235.0,235.0
15/9-F-1,435050.0,6478560.0,235.516,235.516
15/9-F-1,435050.0,6478560.0,236.294,236.294
15/9-F-1,435050.0,6478560.0,236.708,236.708
15/9-F-1,435050.0,6478560.0,237.278,237.278
15/9-F-1,435050.0,6478560.0,237.659,237.659
15/9-F-1,435050.0,6478560.0,238.015,238.015
15/9-F-1,435050.0,6478560.0,238.343,238.343
15/9-F-1,435050.0,6478560.0,238.8,238.8
15/9-F-1,435050.0,6478560.0,239.793,239.793
15/9-F-1,435050.0,6478560.0,240.194,240.194
15/9-F-1,435050.0,6478560.0,240.9,240.9
15/9-F-1,435050.0,6478560.0,241.361,241.361
